sales	advertising	store
133553	1841	1
119778	1782	1
147097	1782	1
55589	573	1
109886	1877	1
150285	1907	1
108779	1719	1
142993	2069	1
87877	938	1
106663	1544	1
105976	1096	1
96569	1087	1
128616	1853	1
104664	1072	1
122913	1263	1
125959	1481	1
140737	1743	1
126234	1405	1
95547	1337	1
163220	2126	1
123908	1558	1
117765	1344	1
117213	1391	1
125994	2299	1
96809	1433	1
82472	981	1
164035	1962	1
136468	1707	1
132531	1588	1
87896	412	1
134643	1454	1
153303	2191	1
129318	2027	1
107898	1394	1
114585	1288	1
147048	1839	1
71668	810	1
118719	1202	1
152132	2188	1
70627	773	1
118029	1275	1
154687	2454	1
142791	1702	1
115392	1926	1
105376	1352	1
141706	2193	1
127687	1327	1
118616	1573	1
91759	741	1
78401	910	1
199523	2658	1
95580	1072	1
147325	2089	1
133706	2090	1
119433	1888	1
87674	742	1
163049	2245	1
132899	1854	1
75787	459	1
147922	2011	1
126743	1447	1
190828	3039	1
95500	794	1
146695	1949	1
159988	2107	1
144647	1576	1
162242	2000	1
120619	1379	1
107482	1281	1
106843	715	1
73491	538	1
160984	1988	1
144977	1917	1
82066	946	1
153004	1921	1
77709	591	1
109960	1232	1
149030	1897	1
46959	502	1
99262	1336	1
146078	1922	1
78150	704	1
136984	2102	1
147173	1723	1
58057	649	1
133359	1324	1
175389	2222	1
100752	1258	1
85209	1009	1
134887	1687	1
134503	2128	1
126039	1370	1
113519	1728	1
124214	1713	1
72655	54	1
92505	1075	1
104263	1102	1
118750	1334	1
132920	1449	1
100146	1381	1
73232	877	2
174432	924	2
75915	528	2
104634	2169	2
161134	1958	2
103916	1821	2
145614	2060	2
117178	1951	2
144997	2339	2
70135	1096	2
102127	1157	2
206035	1384	2
74680	927	2
79111	696	2
63286	1840	2
92933	404	2
146930	822	2
93310	1237	2
147634	1454	2
159739	2449	2
49916	1412	2
82802	1372	2
73977	932	2
120992	1726	2
145926	1338	2
138482	766	2
205010	3306	2
130773	1003	2
140639	1703	2
157962	1680	2
87641	1328	2
86633	1347	2
144669	877	2
122561	1320	2
82570	1187	2
111106	1530	2
153464	2579	2
2785	155	2
154814	1555	2
131690	2357	2
99714	1742	2
177077	2457	2
108205	665	2
169022	1101	2
115669	1678	2
156126	1528	2
181563	1043	2
171055	2027	2
137194	1594	2
70368	1174	2
120429	1205	2
110413	1094	2
82891	2356	2
102418	1210	2
102993	1439	2
130949	756	2
182976	2542	2
89410	2511	2
89857	1528	2
104980	1185	2
121171	2128	2
132682	1237	2
96576	1441	2
157819	558	2
129202	1142	2
122103	1948	2
142909	2251	2
123670	1228	2
142878	319	2
120169	198	2
84601	1518	2
90277	1607	2
185571	1889	2
194055	2392	2
124453	565	2
89612	1764	2
102603	1500	2
139566	1368	2
140437	1018	2
131260	1459	2
57167	1266	2
193715	1419	2
63462	1146	2
106640	2297	2
171724	1979	2
71092	746	2
191785	1773	2
167516	1560	2
34650	1251	2
113306	1887	2
160661	1454	2
116081	1249	2
107332	1736	2
115398	1641	2
112754	1292	2
135349	1801	2
82097	1037	2
88097	1548	2
124565	685	2
98806	1474	2
