downloadsSD	academyAward	customerRating	downloadsHD	movieID	genre
3277	0	5	2302	1	1
3946	1	4	2627	2	1
3204	1	4	2592	3	1
1942	1	5	2434	4	1
2666	1	2	836	5	1
2624	1	5	2647	6	1
3608	1	4	2804	7	1
1615	0	2	422	8	1
2299	0	4	2439	9	1
2494	1	1	1811	10	1
3035	0	5	1332	11	1
1946	0	4	1845	12	1
3397	0	5	544	13	1
2268	0	3	1297	14	1
1301	0	3	2129	15	1
1466	0	3	1422	16	1
2135	0	4	1644	17	1
2933	1	4	1511	18	1
2840	0	5	1247	19	1
3100	0	5	1219	20	1
3894	1	2	3637	21	1
2185	1	4	1414	22	1
1148	0	1	1352	23	1
3351	1	3	2084	24	1
847	0	1	1927	25	1
787	0	2	1900	26	1
924	0	1	1396	27	1
1650	0	2	795	28	1
1953	0	2	1492	29	1
2068	1	4	2177	30	1
3286	1	3	2761	31	1
2538	0	4	1855	32	1
2725	1	3	3799	33	1
2935	1	3	1762	34	1
1648	0	2	1686	35	1
1836	0	3	1237	36	1
3956	1	4	1495	37	2
3079	1	4	2273	38	2
843	0	1	1584	39	2
3087	1	2	2657	40	2
2954	0	4	1297	41	2
4413	1	5	2562	42	2
1449	0	3	2051	43	2
3372	1	3	1512	44	2
3582	0	5	2463	45	2
2786	1	3	2027	46	2
2827	0	4	1713	47	2
2697	1	5	3402	48	2
2826	1	5	1133	49	2
2962	0	5	1630	50	2
1912	0	3	906	51	2
2356	1	3	2633	52	2
4029	1	3	2682	53	2
1094	0	1	1373	54	2
1739	1	3	2184	55	2
4012	1	4	1366	56	2
2472	0	5	1270	57	2
4700	1	5	2195	58	2
2496	1	3	2442	59	2
2386	0	4	1623	60	2
1133	0	1	1731	61	2
1110	0	2	783	62	2
4682	1	5	2310	63	2
2894	0	3	1309	64	2
2355	1	3	1139	65	2
3534	1	4	2596	66	2
2473	0	5	1357	67	2
1600	0	2	1650	68	2
3246	1	4	1318	69	2
3778	1	3	2493	70	2
3711	1	4	1604	71	2
2424	0	4	1707	72	2
3042	1	1	2082	73	2
4111	1	4	747	74	2
2054	0	3	1716	75	2
942	0	3	1569	76	2
1560	0	3	2214	77	2
1872	1	1	2034	78	2
2231	0	3	1102	79	2
1417	0	3	2161	80	2
2342	0	4	1473	81	2
4207	1	2	2031	82	2
3171	1	5	2958	83	3
2164	0	3	1217	84	3
3091	0	4	1366	85	3
972	0	1	359	86	3
1640	0	2	1001	87	3
2678	1	5	2706	88	3
1048	0	1	1353	89	3
1335	0	2	1366	90	3
2150	1	5	3250	91	3
1002	0	1	1464	92	3
4105	1	3	2934	93	3
1849	0	2	851	94	3
1036	0	1	2337	95	3
1448	0	2	897	96	3
2550	1	5	2329	97	3
3514	0	3	1766	98	3
2370	0	4	1189	99	3
2221	0	3	1100	100	3
1172	0	1	1474	101	3
2105	0	4	862	102	3
1128	0	2	1725	103	3
3199	0	5	1693	104	3
1054	0	1	1575	105	3
683	0	2	1960	106	3
3563	1	4	2770	107	3
4847	1	4	2509	108	3
3118	1	5	4040	109	4
3427	1	5	3242	110	4
2360	1	5	2794	111	4
2388	1	3	2668	112	4
4312	1	5	1774	113	4
2113	0	3	1578	114	4
2784	1	5	2339	115	4
1477	0	2	2047	116	4
1525	0	3	2519	117	4
