revenue	gender	retargeting	rank
3676	1	3	1
3668	1	3	2
3613	0	2	3
3533	1	3	4
3532	0	3	5
3530	0	3	6
3510	1	3	7
3451	1	3	8
3447	1	3	9
3435	0	1	10
3400	1	2	11
3360	1	3	12
3329	1	3	13
3317	1	3	14
3305	0	2	15
3250	1	3	16
3231	1	3	17
3223	0	3	18
3210	1	3	19
3203	1	1	20
3183	1	3	21
3170	0	3	22
3156	0	2	23
3149	0	3	24
3124	1	3	25
3116	1	3	26
3051	1	3	27
3042	1	2	28
3036	0	3	29
3031	0	2	30
3011	1	3	31
2987	1	3	32
2984	1	3	33
2972	0	3	34
2967	1	3	35
2919	0	3	36
2901	1	3	37
2893	0	2	38
2888	1	3	39
2875	1	3	40
2854	1	2	41
2834	1	3	42
2833	1	3	43
2783	0	3	44
2769	1	3	45
2766	1	3	46
2738	1	3	47
2737	1	1	48
2735	1	3	49
2732	1	2	50
2731	0	3	51
2718	1	3	52
2706	0	3	53
2704	0	2	54
2697	1	3	55
2696	0	3	56
2683	1	1	57
2674	1	2	58
2661	1	3	59
2657	1	1	60
2641	0	3	61
2639	0	2	62
2636	1	3	63
2603	1	3	64
2601	1	3	65
2577	1	3	66
2568	1	3	67
2545	1	1	68
2545	1	3	69
2527	1	2	70
2506	0	1	71
2505	1	1	72
2491	0	3	73
2488	1	3	74
2470	1	1	75
2459	1	3	76
2445	1	2	77
2435	0	2	78
2433	0	3	79
2411	1	3	80
2409	1	3	81
2406	0	3	82
2402	1	3	83
2395	1	2	84
2349	0	2	85
2344	1	3	86
2343	1	3	87
2337	0	3	88
2332	0	3	89
2327	1	1	90
2319	1	3	91
2303	0	3	92
2296	1	1	93
2291	1	3	94
2286	1	3	95
2281	1	2	96
2267	1	3	97
2251	1	1	98
2248	0	3	99
2248	1	1	100
2237	1	3	101
2236	0	2	102
2216	1	3	103
2215	1	3	104
2214	0	1	105
2211	0	3	106
2193	0	2	107
2177	0	2	108
2151	1	2	109
2145	1	3	110
2133	1	2	111
2132	0	3	112
2128	0	1	113
2116	1	1	114
2092	1	3	115
2077	0	3	116
2051	1	1	117
2049	0	3	118
2041	0	2	119
2032	1	3	120
2016	0	3	121
2014	1	2	122
2012	0	3	123
2008	0	1	124
1992	0	1	125
1983	1	2	126
1980	0	2	127
1980	1	2	128
1979	1	3	129
1978	0	3	130
1976	1	3	131
1964	1	2	132
1963	0	3	133
1961	0	1	134
1956	0	3	135
1950	1	3	136
1949	1	3	137
1946	0	3	138
1943	1	2	139
1933	0	3	140
1925	0	1	141
1916	1	3	142
1910	1	3	143
1900	1	1	144
1897	1	3	145
1889	1	3	146
1887	1	2	147
1877	0	1	148
1872	0	2	149
1861	0	3	150
1859	0	2	151
1843	1	3	152
1841	0	3	153
1831	0	2	154
1828	1	3	155
1824	0	3	156
1805	0	2	157
1801	0	3	158
1801	1	1	159
1793	0	3	160
1790	1	2	161
1789	1	3	162
1771	1	3	163
1760	1	1	164
1757	1	3	165
1745	1	2	166
1744	1	1	167
1737	0	3	168
1733	0	1	169
1731	1	1	170
1729	0	3	171
1727	1	3	172
1720	0	2	173
1719	1	3	174
1712	0	1	175
1691	1	2	176
1684	0	3	177
1683	1	3	178
1681	1	3	179
1675	1	2	180
1659	0	2	181
1659	0	3	182
1659	1	2	183
1654	1	2	184
1653	1	2	185
1639	0	3	186
1635	0	2	187
1631	1	3	188
1612	0	3	189
1599	1	3	190
1598	0	3	191
1598	1	1	192
1587	0	3	193
1582	1	1	194
1580	1	3	195
1579	1	1	196
1570	0	3	197
1566	1	3	198
1553	0	2	199
1544	0	2	200
1520	0	2	201
1514	1	2	202
1512	1	3	203
1511	0	2	204
1511	1	2	205
1507	0	1	206
1476	0	1	207
1476	0	2	208
1473	1	3	209
1429	0	2	210
1420	0	2	211
1414	0	2	212
1414	0	3	213
1409	0	3	214
1405	0	3	215
1393	1	1	216
1377	0	2	217
1375	0	3	218
1363	0	3	219
1356	0	2	220
1356	1	2	221
1345	0	1	222
1342	0	2	223
1337	0	3	224
1315	1	3	225
1311	0	3	226
1296	1	2	227
1293	1	3	228
1290	0	3	229
1287	1	1	230
1285	1	1	231
1261	1	3	232
1241	0	2	233
1228	1	2	234
1215	1	3	235
1201	0	2	236
1195	1	3	237
1193	1	2	238
1189	1	1	239
1188	0	1	240
1184	0	1	241
1183	0	3	242
1181	0	3	243
1181	1	2	244
1158	0	1	245
1148	0	1	246
1148	1	2	247
1135	0	1	248
1134	1	1	249
1132	0	3	250
1123	0	1	251
1119	0	2	252
1101	0	1	253
1067	0	2	254
1065	1	2	255
1061	1	2	256
1054	1	1	257
1041	1	2	258
1036	1	3	259
1019	0	1	260
1012	1	1	261
988	0	2	262
981	1	2	263
978	0	2	264
972	0	2	265
970	0	1	266
952	0	3	267
917	0	3	268
917	0	3	269
899	0	2	270
887	0	2	271
856	0	1	272
826	1	1	273
824	1	1	274
818	1	1	275
810	0	2	276
805	0	2	277
802	0	2	278
770	1	2	279
752	1	2	280
751	1	3	281
737	1	2	282
707	0	1	283
673	0	2	284
640	0	3	285
624	0	2	286
597	1	2	287
543	1	1	288
510	1	2	289
478	0	1	290
474	1	1	291
462	0	1	292
439	1	1	293
420	0	3	294
413	1	2	295
399	1	1	296
395	0	2	297
393	0	1	298
348	0	3	299
347	1	2	300
324	0	2	301
304	0	1	302
259	0	3	303
145	0	1	304
118	1	2	305
71	0	1	306
13	1	2	307
