Obs	DealerNumber	Promotion	DirectMail	Sales
1	1	high	1	10
2	2	high	1	9
3	3	high	1	10
4	4	high	1	8
5	5	high	1	9
6	6	high	0	8
7	7	high	0	9
8	8	high	0	7
9	9	high	0	7
10	10	high	0	6
11	1	medium	1	8
12	2	medium	1	8
13	3	medium	1	7
14	4	medium	1	9
15	5	medium	1	6
16	6	medium	0	4
17	7	medium	0	5
18	8	medium	0	5
19	9	medium	0	6
20	10	medium	0	4
21	1	low	1	5
22	2	low	1	7
23	3	low	1	6
24	4	low	1	4
25	5	low	1	5
26	6	low	0	2
27	7	low	0	3
28	8	low	0	2
29	9	low	0	1
30	10	low	0	2
