"lat"	"lon"	"latlon"
50.7	7.7	"50.7_7.7"
51	6.3	"51_6.3"
52.2	10.5	"52.2_10.5"
50.9	11	"50.9_11"
49.9	8.2	"49.9_8.2"
53.3	13.4	"53.3_13.4"
50	8.2	"50_8.2"
51.1	14	"51.1_14"
52.5	13.3	"52.5_13.3"
51.3	12.3	"51.3_12.3"
52.2	13.6	"52.2_13.6"
54.8	8.3	"54.8_8.3"
52.2	9.9	"52.2_9.9"
52.5	13.7	"52.5_13.7"
51.5	6.9	"51.5_6.9"
52.5	12.3	"52.5_12.3"
52.3	13.4	"52.3_13.4"
52.3	13.3	"52.3_13.3"
48.1	11.5	"48.1_11.5"
47.8	12	"47.8_12"
47.6	9.7	"47.6_9.7"
53.8	10.6	"53.8_10.6"
48	11.3	"48_11.3"
48	11.5	"48_11.5"
53.9	10.8	"53.9_10.8"
53.9	10.8	"53.9_10.8"
51.1	7.1	"51.1_7.1"
48	11.4	"48_11.4"
48.8	9.2	"48.8_9.2"
52.4	13.4	"52.4_13.4"
50.9	11	"50.9_11"
48.6	8.9	"48.6_8.9"
53.7	14.7	"53.7_14.7"
48	11.6	"48_11.6"
53	9	"53_9"
53.3	13	"53.3_13"
51.3	9.4	"51.3_9.4"
50.7	9.9	"50.7_9.9"
48.9	12	"48.9_12"
53.9	9.5	"53.9_9.5"
53.9	9.5	"53.9_9.5"
53.9	9.5	"53.9_9.5"
50.9	14.6	"50.9_14.6"
48.7	9.2	"48.7_9.2"
49.3	7.7	"49.3_7.7"
52.5	13.2	"52.5_13.2"
50	8.2	"50_8.2"
51.5	7.6	"51.5_7.6"
47.7	11	"47.7_11"
53.4	13.5	"53.4_13.5"
53.5	9.7	"53.5_9.7"
53.4	9.9	"53.4_9.9"
53.9	9.9	"53.9_9.9"
48.7	9.2	"48.7_9.2"
54.6	8.3	"54.6_8.3"
54.4	10.3	"54.4_10.3"
54	9.9	"54_9.9"
54.3	12.3	"54.3_12.3"
49	10.9	"49_10.9"
53.5	9.9	"53.5_9.9"
47.9	11.2	"47.9_11.2"
48.5	8.7	"48.5_8.7"
48	9.2	"48_9.2"
53	8.7	"53_8.7"
48.6	13.6	"48.6_13.6"
48.7	8.9	"48.7_8.9"
48.1	11.5	"48.1_11.5"
47.5	10.2	"47.5_10.2"
49.9	6.8	"49.9_6.8"
52.3	7.8	"52.3_7.8"
53.3	9.8	"53.3_9.8"
48.5	10.5	"48.5_10.5"
52.5	13.3	"52.5_13.3"
53.2	9.9	"53.2_9.9"
50.7	12.9	"50.7_12.9"
54.4	12.5	"54.4_12.5"
48.1	11.6	"48.1_11.6"
51.3	12	"51.3_12"
51.6	7.8	"51.6_7.8"
51.6	7.8	"51.6_7.8"
53.1	8.7	"53.1_8.7"
53.3	8.4	"53.3_8.4"
51.2	7	"51.2_7"
50.8	7	"50.8_7"
49.4	11.1	"49.4_11.1"
50.7	6.1	"50.7_6.1"
52.5	13.6	"52.5_13.6"
48.8	9.2	"48.8_9.2"
52.5	13.2	"52.5_13.2"
47.8	9.6	"47.8_9.6"
47.8	9.6	"47.8_9.6"
