track_id,min_rank,streams,isrc,artist_id,release_date,explicit,danceability,duration_ms,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,label,rep_ctry,genre
000xQL6tZNLJzIrtIgxqSl,65,4066,USRC11700675,5ZsFI1h6hIdQRw2ti0hz81,2017-03-23,0,0.748,188491,0.627,-6.029,0.0644,0,0.0852,0.524,120.963,SONY,US,Rock
003eoIwxETJujVWmNFMoZy,136,3871,USUM71808193,2wUjUUtkb5lvLKcGKsKqsR,2018-06-15,0,0.353,193680,0.755,-6.276,0.733,0,0.39,0.437,191.153,UMG,US,Pop
003vvx7Niy0yvhvHt4a68B,197,4574,USIR20400274,0C0XlULifJtAgn6ZNCW2eu,2004-06-01,0,0.352,222973,0.911,-5.23,0.0747,0,0.0995,0.236,148.033,UMG,US,Rock
009CKw0AJZiyaIFG8uGl5C,22,11633,ATR211823101,5DxtpBc8OxcLW5KvAwtzBy,2018-07-27,0,0.761,184274,0.956,-4.32,0.0283,0,0.316,0.973,133.989,INDEP,AT,Pop
00adbfJZUIpz8vRycsR7WV,168,5076,DEA621801609,6gto7HVNhu4ARE3P3g8Y5Y,2018-12-07,1,0.56,183400,0.734,-5.976,0.0635,1e-04,0.17,0.191,76.042,WARNER,DE,HipHop & Rap
00gv2BypA7ieovRSsD7rO8,32,11951,DEYD21901001,0lFLP59V4TY3XgnrkFIwxK,2019-07-26,1,0.827,163195,0.671,-5.942,0.0394,7e-04,0.0694,0.668,102.003,WARNER,DE,HipHop & Rap
00IN4udXTO3vzkpBCz5Dmu,47,11196,DECE71900120,5p7mWeX4RlvqBCxylfiXdE,2019-04-19,0,0.705,194084,0.62,-6.064,0.0732,0,0.101,0.251,113.674,UMG,DE,HipHop & Rap
00iyWekl1wcaHCAqPhZLzO,85,4559,DEA621800170,13bDjug9N0pyv3ZUINjkDV,2018-02-02,1,0.692,188026,0.678,-4.364,0.136,0,0.109,0.145,114.994,WARNER,DE,HipHop & Rap
00lNx0OcTJrS3MKHcB80HY,6,14994,GBUM71606456,4Q6nIcaBED8qUel8bBx6Cr,2016-12-09,1,0.876,213947,0.669,-6.054,0.138,0,0.185,0.682,124.007,UMG,GB,Electronic & Dance
00PesUdTmC3Y5xtZbZND0p,192,4409,PLC592000024,03fLoIOO015incUitpfkad,2020-02-14,0,0.451,177947,0.291,-11.764,0.036,0,0.0983,0.158,81.326,INDEP,PL,Pop
00pW24Ogrp16sOxTokbJz4,184,2565,DEHK91791681,5nkYRuiIHg2xXHFC8bfosJ,2017-10-06,0,0.683,181920,0.641,-6.732,0.045,0,0.322,0.517,142.069,SONY,DE,Electronic & Dance
00SMaHmCxdOsSrYuwGbJua,76,6272,DEQ021801397,5pVRwX5ZQR7hfJ18w8ZYkl,2018-08-17,1,0.754,214087,0.453,-9.156,0.05,0.0166,0.402,0.239,120.063,INDEP,DE,HipHop & Rap
00TVmX9spquyg0UKuN57l3,147,2676,USUM71704114,4UXqAaa6dQYAk18Lv7PEgX,2018-01-19,0,0.581,210347,0.919,-4.324,0.05,2.5e-06,0.107,0.847,95.991,UMG,US,Rock
00vk0sEfb6mr2ehwSw0Uhn,81,2559,RUA591500339,74eY8wbrhhVD7pACbBHwHw,2016-08-26,0,0.773,192227,0.849,-8.345,0.0587,0.0103,0.397,0.913,119.981,UMG,RU,Pop
00wxIcA1PPbqEzATkHT4e1,106,2325,ITDV91600040,5lzqFxifzjxYHGJxuwQqtR,2017-04-28,0,0.668,217613,0.834,-3.997,0.0758,3.23e-06,0.104,0.565,114.07,WARNER,IT,Pop
00xBJ1IJSkErFWuuHxLPoP,23,9699,DEW921401104,3utZ2yeQk0Z3BCOBWP7Vlu,2017-09-08,1,0.533,216321,0.643,-7.593,0.0413,0,0.188,0.47,85.061,INDEP,DE,HipHop & Rap
00XeFRxGrbMQoJPqVJSDjl,84,8025,DECE72000152,6h1s4i4XKIYv4ErDelLDN0,2020-04-16,1,0.775,152213,0.815,-3.495,0.243,0,0.12,0.538,96.988,UMG,DE,HipHop & Rap
011NtiyI7P4xlIQHar3p9h,125,3217,DEQ121750182,7l8dcABCTyZKrkskt53Z2u,2017-09-29,0,0.605,214480,0.701,-4.566,0.0497,0,0.105,0.244,146.049,INDEP,DE,HipHop & Rap
014J7jX1wSv0manSdRnveo,95,2891,USUM71606248,6ydoSd3N2mwgwBHtF6K7eX,2016-07-08,0,0.608,224392,0.648,-5.569,0.036,0.001,0.0897,0.114,121.96,UMG,US,Pop
017PF4Q3l4DBUiWoXk4OWT,23,13589,GBAHT1901303,6M2wZ9GZgrQXHCFfjv46we,2020-03-27,0,0.73,221820,0.729,-3.434,0.0886,1.39e-06,0.349,0.467,113.012,UMG,GB,Pop
01as9sNALk4rpqgqz9a0n3,58,11372,FRX281942579,18Zq5h68TQ6kurXzRNHJDo,2020-01-24,1,0.94,199834,0.787,-6.885,0.102,0.0593,0.0625,0.842,135.008,INDEP,FR,HipHop & Rap
01AXHOcjq5Ikq1mKyNm9bM,104,6550,DEYD21901012,0lFLP59V4TY3XgnrkFIwxK,2019-12-20,1,0.794,201548,0.489,-8.341,0.084,4.27e-06,0.0966,0.542,155.945,WARNER,DE,HipHop & Rap
01dmH2IPkrLNWIMPNXlreE,184,3170,QM4TX1817915,3Nrfpe0tUJi4K4DXYWgMUX,2018-05-18,0,0.519,211224,0.828,-5.523,0.365,0,0.0571,0.929,139.413,INDEP,US,other
01DOm09B2AbiTARAbXVI6g,181,4779,USUM71816223,5IcR3N7QB1j6KBL8eImZ8m,2019-04-08,1,0.958,181153,0.6,-6.996,0.118,0,0.274,0.607,127.933,UMG,US,HipHop & Rap
01iuzK2ziYAVE2n9aSXbWp,17,20156,USUM71915730,246dkjvS1zLTtiykXe5h60,2019-09-06,0,0.404,156253,0.645,-3.221,0.0479,0,0.104,0.158,130.215,UMG,US,HipHop & Rap
