date	unit_sales	group
01.06.2014	6	1
02.06.2014	27	1
03.06.2014	30	1
04.06.2014	24	1
05.06.2014	21	1
06.06.2014	11	1
07.06.2014	18	1
08.06.2014	15	1
09.06.2014	18	1
10.06.2014	13	1
11.06.2014	6	1
12.06.2014	6	1
13.06.2014	3	1
14.06.2014	9	1
15.06.2014	6	1
16.06.2014	4	1
17.06.2014	6	1
18.06.2014	9	1
19.06.2014	12	1
20.06.2014	6	1
21.06.2014	5	1
22.06.2014	3	1
23.06.2014	6	1
24.06.2014	6	1
25.06.2014	6	1
26.06.2014	5	1
27.06.2014	3	1
28.06.2014	6	1
29.06.2014	6	1
30.06.2014	6	1
01.07.2014	12	1
02.07.2014	6	1
03.07.2014	6	1
04.07.2014	6	1
05.07.2014	6	1
06.07.2014	3	1
07.07.2014	4	1
08.07.2014	6	1
09.07.2014	4	1
10.07.2014	2	1
11.07.2014	3	1
12.07.2014	6	1
13.07.2014	4	1
14.07.2014	3	1
15.07.2014	3	1
16.07.2014	15	1
17.07.2014	10	1
18.07.2014	9	1
19.07.2014	3	1
20.07.2014	12	1
21.07.2014	2	1
01.06.2014	9	2
02.06.2014	12	2
03.06.2014	30	2
04.06.2014	18	2
05.06.2014	20	2
06.06.2014	15	2
07.06.2014	2	2
08.06.2014	3	2
09.06.2014	3	2
10.06.2014	9	2
11.06.2014	3	2
12.06.2014	2	2
13.06.2014	12	2
14.06.2014	1	2
15.06.2014	3	2
16.06.2014	9	2
17.06.2014	6	2
18.06.2014	3	2
19.06.2014	6	2
20.06.2014	12	2
21.06.2014	6	2
22.06.2014	6	2
23.06.2014	15	2
24.06.2014	9	2
25.06.2014	3	2
26.06.2014	3	2
27.06.2014	2	2
28.06.2014	9	2
29.06.2014	0	2
30.06.2014	0	2
01.07.2014	6	2
02.07.2014	9	2
03.07.2014	3	2
04.07.2014	3	2
05.07.2014	3	2
06.07.2014	3	2
07.07.2014	3	2
08.07.2014	0	2
09.07.2014	6	2
10.07.2014	6	2
11.07.2014	6	2
12.07.2014	0	2
13.07.2014	2	2
14.07.2014	0	2
15.07.2014	0	2
16.07.2014	3	2
17.07.2014	6	2
18.07.2014	3	2
19.07.2014	0	2
20.07.2014	3	2
21.07.2014	3	2
