"sales"	"advertising"
16	13817
17	5075
15	3501
27	23662
14	9977
19	11973
9	3135
15	7690
14	15418
15	13247
9	2606
19	19937
9	3714
10	3730
13	2670
20	11399
12	5603
29	20141
14	14481
21	20128
4	103
11	11296
9	1233
14	9535
19	8305
12	9328
8	3169
8	1479
18	12962
17	13011
24	16302
15	20231
14	12510
16	11390
13	5568
14	3839
15	24256
19	11826
4	235
23	22759
27	16490
12	6636
19	19802
14	21507
20	9231
21	23375
18	9833
20	24766
15	19344
17	16217
23	13823
21	7201
17	13900
17	18598
12	5040
10	3854
18	9734
15	6918
19	18492
8	5966
8	274
20	11393
21	20583
14	7679
9	1964
25	9358
5	214
18	22307
8	3528
18	8072
12	4968
10	5808
16	6539
18	22576
12	14047
19	15708
16	12279
12	5981
28	15471
15	18404
18	20723
13	5505
15	7074
19	23648
13	14259
21	20766
22	20331
14	3783
21	20209
12	1778
20	24264
16	3579
7	412
14	12644
20	12771
12	1013
18	15438
10	1892
16	6167
7	1132
11	7817
13	7928
22	24427
13	5375
18	13772
12	5643
16	17299
19	9526
11	1844
19	11118
29	21268
13	5106
22	21139
20	13194
16	3702
17	10662
16	5623
21	21643
11	13245
25	14527
12	7985
21	12650
27	19792
22	20431
11	8556
15	14073
15	9584
21	13391
17	10484
15	21204
13	7530
10	3015
18	19433
7	377
13	12820
18	16328
14	5254
6	1011
19	16385
13	6427
18	9790
11	3582
9	1849
17	21117
16	16111
24	20721
15	7177
23	15294
22	18162
15	6061
17	21661
24	13410
16	20440
17	7591
16	7668
8	10085
10	1868
18	16707
22	21021
11	1720
16	19187
15	13701
18	21109
15	14806
20	19093
25	18958
13	9452
15	19900
11	6504
11	8414
8	1255
12	6889
18	17118
8	2526
13	5359
10	4494
12	4664
12	5542
19	13686
18	13838
22	5247
18	23834
22	13807
26	23483
21	14819
17	12519
13	14514
14	18077
28	18346
18	24155
19	8657
23	24225
14	19036
16	24207
21	18055
20	20592
21	18061
23	16142
16	19174
17	15717
8	613
12	5735
33	24517
19	11232
31	14549
18	16562
24	20724
12	4191
14	3607
24	21643
15	12158
17	20672
9	2084
18	15117
22	15455
8	3984
28	16674
14	16761
