artistName	trackID	trackName	rank	streams	frequency	danceability	energy	key	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	isrc	spotifyArtistID	releaseDate	daysSinceRelease	top10	spotifyFollowers	mbid	artistCountry
justin bieber	00IH8ZjI9ZGB51WRX1Oesj	Trust	49	2143147	5	0.609	0.487	7	-8.444	0.168	0.067	0	0.166	0.452	72.674	203613	3	USUM71516772	1uNFoZAHBGtllmzznpCI3s	13.11.2015	506	0	8713999	e0140a67-e4d1-4f13-8a01-364355bee46e	CA
the weeknd	00NAQYOP4AmWR549nnYJZu	Secrets	11	4928108	10	0.674	0.779	0	-5.779	0.0509	0.0183	0.00000735	0.474	0.728	109.933	265600	4	USUG11601000	1Xyo4u8uXC1ZmMpatF05PJ	25.11.2016	128	0	5418869	c8b03190-306c-4120-bb0b-6f2ebfc06ea9	CA
dj mustard	01gNiOqg8u7vT90uVgOVmz	Whole Lotta Lovin	120	917710	3	0.438	0.399	4	-8.752	0.0623	0.154	0.00000845	0.0646	0.382	160.159	299160	5	QMJMT1500808	0YinUQ50QDB7ZxSCLyQ40k	08.01.2016	450	0	139718	0612bcce-e351-40be-b3d7-2bb5e1c23479	US
bing crosby	01h424WG38dgY34vkI3Yd0	White Christmas	70	1865526	9	0.225	0.248	9	-15.871	0.0337	0.912	0.000143	0.404	0.185	96.013	183613	4	USMC14750470	6ZjFtWeHP9XN7FeKSUe80S	27.08.2007	1000	0	123135	2437980f-513a-44fc-80f1-b90d9d7fcf8f	US
beyoncé	02M6vucOvmRfMxTXDUwRXu	07. Nov	81	941425	40	0.747	0.705	9	-5.137	0.126	0.0128	0	0.126	0.571	136.024	213507	4	USSM11408532	6vWDO969PvNqNYHIOW5v0m	24.11.2014	860	0	6453031	859d0860-d480-4efd-970c-c05d5f1776b8	US
post malone	02opp1cycqiFNDpLd2o1J3	Big Lie	129	1480436	1	0.325	0.689	6	-4.951	0.243	0.197	0	0.0722	0.225	77.917	207680	4	USUM71614468	246dkjvS1zLTtiykXe5h60	09.12.2016	114	0	629600	b1e26560-60e5-4236-bbdb-9aa5a8d5ee19	0
chris brown	02yRHV9Cgk8CUS2fx9lKVC	Anyway	130	894216	1	0.469	0.664	7	-7.16	0.121	0.0566	0.00000158	0.482	0.267	124.746	211413	4	USRC11502943	7bXgB6jMjp9ATFy66eO08Z	11.12.2015	478	0	4077185	c234fa42-e6a6-443e-937e-2f4b073538a3	US
big sean	0325GnRiA0zsve4i3bNVs0	Halfway Off The Balcony	111	1528032	2	0.562	0.74	8	-8.371	0.245	0.248	0	0.125	0.153	125.119	230107	4	USUM71615604	0c173mlxpT3dSFRgMO8XPh	03.02.2017	58	0	1975532	942a9807-9c1a-4a0e-a285-1fde2c5be9d1	0
5 seconds of summer	0375PEO6HIwCHx5Y2sowQm	Waste The Night	182	642784	1	0.286	0.907	8	-4.741	0.113	0.0144	0	0.268	0.271	75.64	266640	4	GBUM71505159	5Rl15oVamLq7FbSb0NNBNy	23.10.2015	527	0	2221348	830e5c4e-6b7d-431d-86ab-00c751281dc5	AU
waka flocka flame	03tqyYWC9Um2ZqU0ZN849H	No Hands (feat. Roscoe Dash and Wale)	190	866255	1	0.76	0.595	1	-6.366	0.0391	0.00544	0	0.241	0.362	131.497	263773	4	USWB11002103	6f4XkbvYlXMH0QgVRzW0sM	06.09.2010	1000	0	519414	59eda569-b380-4958-b98c-051d1667b3e1	US
dvbbs	042x9bsUBWW2fJgJ6fUh61	Not Going Home	95	1783434	4	0.713	0.733	6	-6.431	0.152	0.0933	0.0000223	0.237	0.455	108.992	196307	4	NLZ541601286	5X4LWwbUFNzPkEas04uU82	27.01.2017	65	0	354766	c3bba486-b24b-4a39-bc4c-b0085950afcd	0
rihanna	046irIGshCqu24AjmEWZtr	Same Ol’ Mistakes	163	809256	2	0.447	0.795	8	-5.435	0.0443	0.211	0.00169	0.0725	0.504	151.277	397093	4	QM5FT1600108	5pKCCKE2ajJHZ9KAiaK11H	29.01.2016	429	0	9687258	73e5e69d-3554-40d8-8516-00cb38737a1c	0
