week,region,streams
2017-01-01,ar,45390029
2017-01-01,at,5111149
2017-01-01,au,46201117
2017-01-01,be,8082253
2017-01-01,bg,86293
2017-01-01,bo,1055670
2017-01-01,br,102549356
2017-01-01,ca,44683197
2017-01-01,ch,6902599
2017-01-01,cl,31676205
2017-01-01,co,12051595
2017-01-01,cr,5673904
2017-01-01,cz,2854078
2017-01-01,de,92382794
2017-01-01,dk,24247347
2017-01-01,do,2278623
2017-01-01,ec,4701404
2017-01-01,ee,341263
2017-01-01,es,53894297
2017-01-01,fi,20045537
2017-01-01,fr,45435568
2017-01-01,gb,106614872
2017-01-01,global,1168724145
2017-01-01,gr,621821
2017-01-01,gt,2244338
2017-01-01,hk,5076485
2017-01-01,hn,1254426
2017-01-01,hu,2054763
2017-01-01,id,15858129
2017-01-01,ie,9556933
2017-01-01,is,681590
2017-01-01,it,27441145
2017-01-01,jp,2237460
2017-01-01,lt,524310
2017-01-01,lu,56440
2017-01-01,lv,395217
2017-01-01,mt,157791
2017-01-01,mx,96840893
2017-01-01,my,9921536
2017-01-01,ni,176055
2017-01-01,nl,45185965
2017-01-01,no,28612809
2017-01-01,nz,12493636
2017-01-01,pa,1704788
2017-01-01,pe,11385367
2017-01-01,ph,56464473
2017-01-01,pl,11381287
2017-01-01,pt,6746900
2017-01-01,py,2096647
2017-01-01,se,50954037
2017-01-01,sg,11331824
2017-01-01,sk,393294
2017-01-01,sv,1040223
2017-01-01,tr,12552002
2017-01-01,tw,7518204
2017-01-01,us,384940815
2017-01-01,uy,3466651
2017-01-08,ar,43497230
2017-01-08,at,5457685
2017-01-08,au,51968237
2017-01-08,be,8424497
2017-01-08,bg,148491
2017-01-08,bo,1202316
2017-01-08,br,104425564
2017-01-08,ca,48929063
2017-01-08,ch,7521450
2017-01-08,cl,32038956
2017-01-08,co,12586290
2017-01-08,cr,5626599
2017-01-08,cz,3156973
2017-01-08,de,94456250
2017-01-08,dk,27598707
2017-01-08,do,2335058
2017-01-08,ec,4881089
2017-01-08,ee,449182
2017-01-08,es,57953828
2017-01-08,fi,21761300
2017-01-08,fr,47351420
2017-01-08,gb,129360686
2017-01-08,global,1272525703
2017-01-08,gr,803014
2017-01-08,gt,2258528
2017-01-08,hk,5409086
2017-01-08,hn,1250822
2017-01-08,hu,2307493
2017-01-08,id,17254507
2017-01-08,ie,10901320
2017-01-08,is,877789
2017-01-08,it,30614271
2017-01-08,jp,2561094
2017-01-08,lt,566825
2017-01-08,lu,93829
2017-01-08,lv,484750
2017-01-08,mt,216442
2017-01-08,mx,98882713
2017-01-08,my,10605267
2017-01-08,ni,156507
2017-01-08,nl,54177255
2017-01-08,no,32519895
2017-01-08,nz,14070547
2017-01-08,pa,1780610
2017-01-08,pe,12318160
2017-01-08,ph,59654826
2017-01-08,pl,12748593
2017-01-08,pt,7812425
2017-01-08,py,2271059
2017-01-08,se,57939416
2017-01-08,sg,12956184
2017-01-08,sk,486094
2017-01-08,sv,1026315
2017-01-08,tr,12602322
2017-01-08,tw,7975100
2017-01-08,us,410773282
2017-01-08,uy,3528960
2017-01-15,ar,45088688
2017-01-15,at,5567194
2017-01-15,au,52690196
2017-01-15,be,8620997
2017-01-15,bg,147358
2017-01-15,bo,1311245
2017-01-15,br,102842418
2017-01-15,ca,50904348
2017-01-15,ch,7638966
2017-01-15,cl,33735375
2017-01-15,co,14004633
2017-01-15,cr,5913743
2017-01-15,cz,3226295
2017-01-15,de,94762903
2017-01-15,dk,27434333
2017-01-15,do,2485816
2017-01-15,ec,5176011
2017-01-15,ee,479465
2017-01-15,es,62464551
2017-01-15,fi,22117228
2017-01-15,fr,47792054
2017-01-15,gb,128547419
2017-01-15,global,1294646481
2017-01-15,gr,831907
2017-01-15,gt,2554617
2017-01-15,hk,5382383
2017-01-15,hn,1411994
2017-01-15,hu,2293327
2017-01-15,id,18219970
2017-01-15,ie,11014211
2017-01-15,is,831321
2017-01-15,it,31950628
2017-01-15,jp,2971191
2017-01-15,lt,619576
2017-01-15,lu,95652
2017-01-15,lv,558304
2017-01-15,mt,231182
2017-01-15,mx,101755738
2017-01-15,my,10803887
2017-01-15,ni,173902
2017-01-15,nl,55019606
2017-01-15,no,32723727
2017-01-15,nz,13857407
2017-01-15,pa,1998699
2017-01-15,pe,13302539
2017-01-15,ph,61590530
2017-01-15,pl,12945070
2017-01-15,pt,7942149
2017-01-15,py,2418727
2017-01-15,se,58641186
2017-01-15,sg,13558049
2017-01-15,sk,508256
2017-01-15,sv,1099902
2017-01-15,tr,12937411
2017-01-15,tw,7512303
2017-01-15,us,418037694
2017-01-15,uy,3712503
2017-01-22,ar,46378966
