week,track_id,region,streams,rank
2017-01-01,00vk0sEfb6mr2ehwSw0Uhn,at,16109,81
2017-01-01,014J7jX1wSv0manSdRnveo,at,1474,182
2017-01-01,02WacdrRpm4zlP8H7X6bnQ,at,18583,77
2017-01-01,042x9bsUBWW2fJgJ6fUh61,at,8659,162
2017-01-01,04CttTezSnv71USiiG9mIo,at,11258,142
2017-01-01,04DwTuZ2VBdJCCC5TROn7L,at,53235,20
2017-01-01,05Mp2UJulSttxQ4E6hQPH3,at,38712,39
2017-01-01,08WPvDEsHvTFuB9w8tC2OS,at,34646,15
2017-01-01,0ADG9OgdVTL7fgREP75BrZ,at,16360,88
2017-01-01,0azC730Exh71aQlOt9Zj3y,at,15095,100
2017-01-01,0B8B8cVRFIG1yznoQe7c9s,at,15433,91
2017-01-01,0bZcstGSV52WWUR8WkrW5p,at,3887,183
2017-01-01,0cAuqPI1R8RlFsXXWWO039,at,14828,105
2017-01-01,0ekFioHmdtwcITYOYXavl6,at,12910,120
2017-01-01,0eZBeB2xFIS65jQHerispi,at,16079,98
2017-01-01,0gb1J5UrTpzaU1s3nupgCd,at,15108,86
2017-01-01,0h4FK0CnlZ3oJnZ6quEk1P,at,14076,108
2017-01-01,0hNduWmlWmEmuwEFcYvRu1,at,28753,50
2017-01-01,0JiVRyTJcJnmlwCZ854K4p,at,109713,1
2017-01-01,0L7loeTIg6akW84aEQZpCT,at,18080,56
2017-01-01,0L87MffumRNWrY2SNUFcvs,at,28210,53
2017-01-01,0lmdsH1MIoLsMymnNpd6HU,at,17490,84
2017-01-01,0lsbbaa7nj7LtUXVdk0BQe,at,1406,182
2017-01-01,0OwX5aROoW1Iip8FV51Efg,at,32498,43
2017-01-01,0prNGof3XqfTvNDxHonvdK,at,49538,24
2017-01-01,0QjewL57d6QobAvn1JoQd9,at,10266,159
2017-01-01,0QsvXIfqM0zZoerQfsI9lm,at,43616,24
2017-01-01,0SGkqnVQo9KPytSri1H6cF,at,1332,193
2017-01-01,0SuG9kyzGRpDqrCWtgD6Lq,at,3023,173
2017-01-01,0t4v7Q4yzb9SOQohayL33W,at,19033,67
2017-01-01,0tICYNayWWhH9GPeFrfjfD,at,13829,114
2017-01-01,0vbbhcA6okLzvsy6WSTlLg,at,1362,195
2017-01-01,0xCXcq4y44uHJtJ7zZDF3d,at,7623,58
2017-01-01,0YHUITU3w6ws1v8ehT264g,at,13500,109
2017-01-01,0zMzyHAeMvwq5CRstru1Fp,at,8470,157
2017-01-01,0Zx8khUcEfCFK2AEoIhC92,at,5318,69
2017-01-01,11KJSRSgaDxqydKYiD2Jew,at,10279,162
2017-01-01,12REd1n8PeiHHWOh066tpr,at,10563,153
2017-01-01,14WWzenpaEgQZlqPq2nk4v,at,9957,99
2017-01-01,17Fd6Yb7mSbinKG8LoWfFl,at,27030,49
2017-01-01,1a5Yu5L18qNxVhXx38njON,at,39638,26
2017-01-01,1BMwsK4pa9KhiFmOp1oCjf,at,3979,175
2017-01-01,1Bqxj0aH5KewYHKUg1IdrF,at,2720,194
2017-01-01,1cG0umU5TKStygKsPFZ9pY,at,81002,5
2017-01-01,1CnPYaKxTVb4LWOtiGOm0m,at,14130,104
2017-01-01,1CUVN2kn7mW5FjkqXTR2W1,at,7938,83
2017-01-01,1D3ODoXHBLpdxolZRHWV1j,at,45888,27
2017-01-01,1FUViuNSldssMIawrOXF2i,at,18277,78
2017-01-01,1HCw8XKtTgWWU3JlEUR0qQ,at,11169,149
2017-01-01,1Je1IMUlBXcx1Fz0WE7oPT,at,1573,136
2017-01-01,1jNOi6m3Hn8nLEeHCp5Msr,at,1338,197
2017-01-01,1kFJTEnAvJ70S5mXplUAFR,at,7354,151
2017-01-01,1lItf5ZXJc1by9SbPeljFd,at,11096,140
2017-01-01,1OAiWI2oPmglaOiv9fdioU,at,17121,85
2017-01-01,1oc4kHthIpfa2jQnIL33GE,at,11926,130
2017-01-01,1PouCui4RgDYcrQVAqdYuf,at,2059,121
2017-01-01,1PSBzsahR2AKwLJgx8ehBj,at,20640,64
2017-01-01,1qOLh0tI7trd1zdDKxYZTe,at,41559,29
2017-01-01,1rIKgCH4H52lrvDcz50hS8,at,11593,134
2017-01-01,1Rl40PsX4mh9xVOeGHq86B,at,4144,187
2017-01-01,1Slwb6dOYkBlWal1PGtnNg,at,6034,103
2017-01-01,1ssmjAYSU5PbmsjLq5yrNH,at,38727,29
2017-01-01,1UXyQicTgZI4PT4zflpodi,at,16338,88
2017-01-01,1VdZ0vKfR5jneCmWIUAMxK,at,4408,110
2017-01-01,1VoHrSS3QQ6TbpabLrFiYb,at,11831,133
2017-01-01,1vvNmPOiUuyCbgWmtc6yfm,at,64879,12
