startdate	enddate	ipaddress	duration	experience	theory_ht	theory_anova	theory_reg	theory_fa	pract_ht	pract_anova	pract_reg	pract_fa	overall_knowledge	multi_1	multi_2	multi_3	multi_4	overall_100	prior_SPSS	prior_R	prior_Stata	prior_Excel	prior_SAS	software_preference	future_importance	gender	country	group	lat	long
04.09.2017 21:03	04.09.2017 21:05	188.23.190.194	136	3	2	2	2	2	3	3	3	3	2	2	2	4	3	25	1	1	1	5	1	5	4	1	1	1	48.30000305	16.3500061
04.09.2017 21:07	04.09.2017 21:12	93.10.250.2	297	3	1	3	3	3	1	1	1	1	2	2	2	2	4	15	1	1	1	4	1	5	4	2	2	1	43.71670532	7.366699219
04.09.2017 21:09	04.09.2017 21:13	91.0.18.86	237	3	2	3	3	1	1	1	1	1	2	3	3	3	3	30	1	1	1	2	1	5	4	2	2	2	50.91329956	6.815200806
04.09.2017 21:14	04.09.2017 21:23	37.116.255.55	579	1	3	3	3	2	3	3	2	2	3	4	3	3	2	65	1	1	1	3	1	3	4	2	2	1	45.5	11.3999939
04.09.2017 21:25	04.09.2017 21:30	178.165.131.208	290	1	3	3	2	2	5	5	4	3	3	4	3	4	2	70	3	1	1	3	1	1	4	2	1	1	48.20869446	16.2407074
04.09.2017 21:42	04.09.2017 21:46	212.28.68.81	205	3	2	3	3	1	1	1	1	1	1	3	3	2	4	0	1	1	1	1	1	5	4	2	2	1	47.00559998	28.85749817
04.09.2017 21:57	04.09.2017 22:00	83.7.80.55	194	1	4	2	2	1	5	3	3	2	3	3	3	3	3	60	3	1	1	3	1	1	4	2	2	1	50.03250122	20.21659851
04.09.2017 22:01	04.09.2017 22:04	213.147.160.138	227	3	1	1	1	1	2	2	2	2	1	2	2	1	4	10	2	1	1	3	1	1	3	1	2	2	48.19999695	16.36669922
04.09.2017 22:09	04.09.2017 22:11	80.110.91.14	122	3	2	2	1	1	2	3	3	1	2	2	2	2	2	20	1	1	1	4	1	5	2	2	1	1	48.18649292	16.35490417
04.09.2017 22:37	04.09.2017 22:39	93.229.85.17	155	1	2	2	3	1	5	5	5	5	2	2	2	2	3	25	3	1	1	3	1	1	3	2	2	1	48.06669617	11.25
