age	education_years	Gender	children	wage
26	10	1	1	9
36	10	1	0	10
22	10	1	0	12
39	10	1	3	12
44	10	1	1	13
34	10	1	0	13
40	10	1	2	14
32	10	1	4	16
40	10	1	2	16
35	10	1	1	16
39	10	1	1	17
49	10	1	1	18
31	10	1	3	18
41	10	1	0	18
43	10	1	1	18
48	10	1	0	19
35	10	1	0	19
26	10	1	3	20
39	10	1	1	20
41	10	1	1	21
49	10	1	0	21
49	10	1	3	23
47	10	1	1	24
40	10	1	3	26
43	10	1	4	29
34	10	2	0	9
35	10	2	4	9
25	10	2	4	10
28	10	2	1	10
31	10	2	3	10
31	10	2	3	11
36	10	2	1	11
32	10	2	3	12
34	10	2	2	12
22	10	2	3	13
50	10	2	2	13
33	10	2	2	14
47	10	2	2	14
57	10	2	1	15
36	10	2	1	16
26	10	2	3	16
40	10	2	1	16
26	10	2	3	17
34	10	2	0	18
38	10	2	1	20
24	10	2	3	20
36	10	2	2	21
28	10	2	1	23
26	10	2	1	25
41	10	2	2	28
39	12	1	0	17
29	12	1	3	17
50	12	1	1	18
45	12	1	1	19
42	12	1	0	19
55	12	1	0	20
35	12	1	4	21
36	12	1	1	21
43	12	1	0	21
41	12	1	0	22
36	12	1	2	22
32	12	1	2	22
34	12	1	2	23
43	12	1	1	23
31	12	1	4	22
37	12	1	3	37
41	12	1	0	28
43	12	1	1	28
44	12	1	1	27
37	12	1	1	30
54	12	1	2	30
44	12	1	1	28
44	12	1	1	38
38	12	1	5	37
38	12	1	1	36
28	12	2	3	12
36	12	2	1	13
28	12	2	2	15
32	12	2	3	16
46	12	2	4	18
39	12	2	4	18
25	12	2	1	18
34	12	2	3	18
45	12	2	1	19
54	12	2	1	19
41	12	2	2	19
31	12	2	3	20
30	12	2	3	21
44	12	2	3	21
39	12	2	1	22
44	12	2	2	22
40	12	2	1	23
33	12	2	3	24
49	12	2	2	25
54	12	2	3	26
46	12	2	3	26
34	12	2	2	26
36	12	2	2	27
38	12	2	1	28
30	12	2	4	29
45	17	1	0	17
38	17	1	2	20
23	17	1	0	21
31	17	1	4	21
31	17	1	3	24
43	17	1	0	25
47	17	1	2	26
40	17	1	4	28
30	17	1	0	30
40	17	1	2	30
46	17	1	4	30
40	17	1	1	31
56	17	1	0	31
42	17	1	0	32
42	17	1	2	32
43	17	1	1	33
36	17	1	0	33
31	17	1	0	34
39	17	1	2	34
42	17	1	1	37
35	17	1	0	37
42	17	1	2	37
39	17	1	2	39
49	17	1	3	42
41	17	1	2	44
36	17	2	3	20
36	17	2	3	21
40	17	2	0	21
36	17	2	3	21
38	17	2	3	22
40	17	2	4	22
42	17	2	0	22
27	17	2	2	22
33	17	2	2	22
30	17	2	1	22
55	17	2	1	23
31	17	2	3	23
37	17	2	0	23
41	17	2	1	23
41	17	2	3	24
56	17	2	2	25
35	17	2	0	25
35	17	2	0	28
41	17	2	2	30
31	17	2	2	30
23	17	2	3	32
49	17	2	0	35
48	17	2	4	36
46	17	2	0	50
36	17	2	4	48
