number	gender	familiarity	usage	attitudeinternet	attitudetechnology	onlineshopping	internetbanking	UserCat
1	1	7	14	7	6	1	1	3
2	2	2	2	3	3	2	2	1
3	2	3	3	4	3	1	2	1
4	2	3	3	1	5	1	2	1
5	1	7	13	7	7	1	1	3
6	2	4	6	5	4	1	2	2
7	2	2	2	4	5	2	2	1
8	2	3	6	5	4	2	2	2
9	2	3	6	6	4	1	2	2
10	1	9	15	7	6	1	2	3
11	2	4	3	4	3	2	2	1
12	2	5	4	6	4	2	2	1
13	1	6	9	6	5	2	1	2
14	1	6	8	3	2	2	2	2
15	1	6	5	5	4	1	2	1
16	2	4	3	4	3	2	2	1
17	1	6	9	5	3	1	1	2
18	1	4	4	2	4	1	2	1
19	1	7	14	6	6	1	1	3
20	2	6	6	6	4	2	2	2
21	1	6	9	4	2	2	2	2
22	1	5	5	5	4	2	1	1
23	2	3	2	4	2	2	2	1
24	1	7	15	6	6	1	1	3
25	2	6	6	5	3	1	2	2
26	1	6	13	6	6	1	1	3
27	2	5	4	5	5	1	1	1
28	2	4	2	3	2	2	2	1
29	1	4	4	5	3	1	2	1
30	1	3	3	7	5	1	2	1
