downloads	academyAward	customerRating	movieID
2811	1	3	1
2109	1	2	2
1401	1	2	3
1101	0	2	4
1918	0	3	5
2067	1	3	6
620	0	2	7
1451	0	2	8
1244	1	2	9
648	0	2	10
1817	1	1	11
1433	0	2	12
1723	1	2	13
192	0	2	14
2472	1	3	15
1451	0	3	16
2825	1	3	17
1287	1	2	18
2203	0	3	19
971	0	1	20
1737	0	3	21
2118	1	3	22
1806	0	3	23
3318	1	3	24
2471	1	3	25
1810	1	2	26
893	1	2	27
2316	0	2	28
2747	1	3	29
1268	0	1	30
939	0	3	31
1955	0	3	32
1403	0	2	33
1080	0	1	34
1217	1	2	35
1303	1	2	36
935	0	2	37
2292	0	3	38
1169	0	2	39
1804	0	2	40
1907	1	2	41
978	0	3	42
1396	0	2	43
1756	0	3	44
2087	1	2	45
2841	1	3	46
1018	0	2	47
1736	0	1	48
2136	1	3	49
1146	0	2	50
2208	1	3	51
2545	1	3	52
3159	1	3	53
1753	0	3	54
1984	1	3	55
2350	1	3	56
1932	1	2	57
2785	1	3	58
2791	1	3	59
2501	1	2	60
1870	0	2	61
1587	0	3	62
1907	0	2	63
1986	1	2	64
1922	0	2	65
2046	0	1	66
1776	0	3	67
2186	1	3	68
3060	1	3	69
2204	0	3	70
1064	0	1	71
2269	1	3	72
1924	1	1	73
1854	0	3	74
2703	0	3	75
1654	1	1	76
2540	1	3	77
1417	0	1	78
2598	0	2	79
3014	1	3	80
1559	0	2	81
2711	1	3	82
1218	1	2	83
1541	1	2	84
2670	1	3	85
2858	1	3	86
1505	1	2	87
1703	0	2	88
2286	1	2	89
2550	1	3	90
3287	1	3	91
1116	1	1	92
3081	1	3	93
662	0	1	94
1242	0	3	95
709	1	2	96
1322	0	2	97
3814	1	3	98
2370	1	2	99
1447	1	2	100
1146	0	1	101
1703	0	3	102
1541	0	2	103
2142	1	3	104
1954	1	3	105
1409	0	1	106
1424	0	3	107
2123	0	3	108
1852	0	3	109
1544	0	3	110
3158	1	3	111
1302	0	2	112
2633	0	2	113
2936	1	3	114
975	1	1	115
1722	0	3	116
1021	0	1	117
1329	0	3	118
2849	1	3	119
852	1	1	120
1021	0	2	121
1937	1	2	122
1739	0	2	123
926	0	1	124
2085	0	2	125
1096	0	3	126
1755	1	2	127
2565	1	3	128
932	0	1	129
3186	1	3	130
1824	0	3	131
845	0	3	132
1490	0	2	133
1840	0	2	134
2212	1	3	135
815	1	1	136
923	0	1	137
1016	0	3	138
1741	0	3	139
1107	0	1	140
3471	1	3	141
2953	1	3	142
1915	0	3	143
2363	1	3	144
3110	1	3	145
1750	0	3	146
1552	0	1	147
1321	1	2	148
1648	0	2	149
1687	0	3	150
2988	1	3	151
3565	1	3	152
1081	0	3	153
1100	1	2	154
971	0	3	155
2684	1	3	156
2151	0	3	157
1796	0	3	158
2097	1	3	159
2398	1	3	160
1585	0	3	161
1636	0	2	162
2494	1	3	163
1470	1	2	164
1231	1	2	165
2630	1	3	166
2112	0	3	167
1687	1	1	168
1545	0	2	169
1768	0	2	170
2818	1	3	171
1352	0	3	172
1765	0	3	173
1987	1	3	174
1971	0	3	175
1334	0	2	176
1053	1	2	177
1106	0	1	178
2904	1	3	179
1308	0	2	180
2535	1	3	181
1620	1	1	182
619	0	1	183
2841	1	3	184
3264	1	3	185
2321	1	3	186
1470	1	1	187
1133	0	2	188
3509	1	3	189
1791	0	2	190
3576	1	3	191
1566	0	3	192
1352	1	2	193
2731	1	3	194
1714	1	1	195
3177	1	3	196
2639	0	3	197
1075	0	2	198
1783	0	1	199
2061	0	3	200
880	0	2	201
2457	1	3	202
2806	1	3	203
1054	0	2	204
1204	0	3	205
1189	0	2	206
2149	1	3	207
774	0	1	208
3538	1	3	209
1791	1	1	210
1893	1	2	211
2230	1	3	212
1772	1	2	213
2813	1	3	214
1967	0	3	215
2063	1	3	216
852	0	2	217
2255	0	2	218
2593	1	3	219
1182	0	1	220
2252	0	3	221
1320	0	3	222
1884	1	2	223
2105	1	3	224
2731	1	3	225
2588	1	3	226
761	0	2	227
1171	1	2	228
1116	0	2	229
1691	1	2	230
2093	1	2	231
3104	1	3	232
770	0	3	233
1313	1	1	234
2650	1	3	235
879	0	1	236
1468	0	3	237
1245	1	1	238
1228	0	1	239
2794	1	3	240
3176	1	3	241
2386	1	3	242
3021	1	3	243
1128	0	2	244
498	0	1	245
1416	0	3	246
1267	1	2	247
1349	0	1	248
1705	1	1	249
1169	0	3	250
1507	0	2	251
2472	1	3	252
2484	0	3	253
1869	0	3	254
1733	0	1	255
3243	1	3	256
2305	1	3	257
2856	1	3	258
1936	0	2	259
1175	1	1	260
844	0	1	261
1846	0	2	262
1516	1	1	263
1800	1	2	264
1762	0	2	265
2708	1	3	266
1426	0	2	267
2352	0	3	268
718	0	2	269
1691	0	3	270
1640	0	1	271
1211	1	2	272
1174	1	2	273
1303	0	3	274
2287	1	2	275
3379	1	3	276
1851	0	3	277
1426	0	1	278
2011	0	3	279
1590	0	3	280
1499	1	1	281
1211	0	1	282
1345	0	3	283
740	0	1	284
1707	1	1	285
3256	1	3	286
1363	1	2	287
1355	1	2	288
1998	0	3	289
1102	1	2	290
2297	1	2	291
3376	1	3	292
1875	1	1	293
2582	1	3	294
1889	0	3	295
1168	0	1	296
1613	0	1	297
1298	0	3	298
1783	0	3	299
1090	1	2	300
