downloadsSD	academyAward	customerRating	downloadsHD	movieID
2995	1	5	2942	1
2361	1	2	2632	2
2892	1	3	1537	3
1577	0	3	1039	4
1497	1	3	3480	5
2177	1	3	2699	6
2347	0	3	1350	7
2329	1	5	2753	8
2683	1	1	2343	9
2866	1	4	2597	10
2063	1	5	2087	11
3535	1	1	2387	12
2543	0	4	1283	13
3128	0	5	1445	14
1905	0	3	1947	15
2309	0	3	1314	16
2039	0	3	1197	17
2291	1	3	3041	18
3134	1	2	2360	19
1983	0	4	2257	20
1133	0	1	639	21
840	0	2	889	22
4551	1	4	2386	23
1160	0	4	1615	24
2014	0	3	1932	25
942	0	1	2509	26
4623	1	5	2079	27
2291	0	3	1653	28
3139	1	4	2582	29
3679	1	5	2980	30
2153	0	3	799	31
1885	0	3	1660	32
2457	1	4	1846	33
2976	1	3	2643	34
2941	1	5	1627	35
4573	1	5	2719	36
2351	1	5	1191	37
2072	0	3	1880	38
2786	0	4	1743	39
1572	0	3	1218	40
1062	0	1	2237	41
3468	0	5	1329	42
3303	0	5	728	43
974	0	2	1053	44
2969	1	5	2649	45
2774	0	4	2146	46
2017	0	3	1654	47
2808	0	5	840	48
1285	1	4	2485	49
4130	1	3	2850	50
3276	1	3	2263	51
1052	0	1	1489	52
4050	1	5	2836	53
3254	1	5	2078	54
3701	1	4	1479	55
706	0	2	1645	56
986	0	1	1708	57
2995	1	3	2086	58
3128	0	4	1438	59
848	0	1	1185	60
2601	0	4	802	61
3814	1	5	2171	62
4264	1	5	1404	63
2889	1	4	1257	64
1891	0	3	635	65
3994	1	2	1689	66
3503	0	4	825	67
3073	1	4	998	68
880	0	1	1582	69
3013	1	5	2004	70
2458	1	4	1317	71
1684	0	4	1506	72
3434	1	1	2118	73
3467	1	2	1652	74
2593	0	3	597	75
2901	0	5	1639	76
949	0	1	1746	77
967	0	1	1832	78
3192	0	5	2282	79
1526	0	2	1039	80
1316	0	3	1412	81
4355	1	3	1609	82
1812	0	2	1309	83
4342	1	4	1733	84
1983	1	5	512	85
3646	1	5	1706	86
3602	0	5	2213	87
2138	0	2	1267	88
3104	1	3	2155	89
2993	1	3	1913	90
3682	1	4	2649	91
2160	0	2	2051	92
3599	1	5	2253	93
3807	1	4	1643	94
1382	0	2	1761	95
4486	1	5	1770	96
2407	0	5	794	97
2626	0	5	1946	98
1580	0	3	2119	99
1942	1	1	1779	100
2660	1	3	2847	101
3655	1	2	2710	102
2535	0	5	863	103
3007	0	5	1077	104
2793	1	5	3136	105
3043	0	5	1462	106
2574	0	3	2018	107
3179	1	3	1057	108
1141	0	1	1926	109
1010	0	1	1916	110
3767	1	4	2037	111
3945	1	4	1771	112
4334	0	5	1591	113
3411	1	2	2367	114
2857	1	4	2244	115
1124	0	2	1650	116
3376	0	5	1327	117
2465	1	3	2462	118
1086	0	1	1506	119
3115	1	5	1326	120
4575	1	3	2929	121
3494	1	3	3113	122
3049	1	4	1689	123
4107	1	4	2196	124
3014	1	5	2664	125
2106	1	3	2151	126
3361	0	4	1157	127
4690	1	2	2369	128
3080	0	4	1555	129
2296	0	5	613	130
2062	0	2	1888	131
3108	1	5	2638	132
3896	1	5	2415	133
1090	0	2	1471	134
3922	1	4	2522	135
3116	1	5	1082	136
2201	0	3	1549	137
1540	0	2	1172	138
3592	1	5	1553	139
3628	0	4	1915	140
3459	0	5	1481	141
1798	0	4	1850	142
3007	0	5	1155	143
1570	0	4	1518	144
3674	1	5	3089	145
688	0	3	1448	146
1392	1	4	684	147
1892	0	5	1644	148
3225	0	5	2070	149
4832	1	5	2141	150
2617	1	1	1770	151
4387	1	5	2301	152
3122	1	2	2382	153
2859	0	4	2249	154
1044	0	1	1833	155
2884	1	5	2425	156
3568	1	3	2276	157
2953	0	5	953	158
2296	0	4	1385	159
2575	1	4	1778	160
2470	0	5	3151	161
2106	0	4	937	162
4687	1	3	2802	163
2508	1	5	1492	164
2037	0	2	1814	165
3606	0	4	1050	166
1571	1	4	2245	167
3509	1	4	2039	168
1439	0	3	1562	169
1253	1	4	4152	170
1822	0	2	1621	171
1146	0	3	1861	172
1669	0	4	2120	173
1205	0	1	888	174
3023	1	3	2886	175
2973	0	3	1905	176
4364	1	4	1613	177
3438	0	4	1515	178
2019	1	4	2458	179
3082	1	4	2146	180
3208	1	3	2475	181
2620	1	2	2654	182
2047	0	3	1570	183
1648	0	2	1415	184
5078	1	5	1552	185
2043	0	4	678	186
4221	1	5	2845	187
3307	0	5	1842	188
3660	1	3	1746	189
3674	1	5	3199	190
2752	1	3	3475	191
3468	1	4	1305	192
1304	0	2	1591	193
2612	1	3	2877	194
1031	0	1	1067	195
2547	0	2	1025	196
3580	1	5	2890	197
3648	1	4	2518	198
1151	0	1	1464	199
2668	0	3	1337	200
