unit_sales	group
6	1
27	1
30	1
24	1
21	1
11	1
18	1
15	1
18	1
13	1
6	1
6	1
3	1
9	1
6	1
4	1
6	1
9	1
12	1
6	1
5	1
3	1
6	1
6	1
6	1
5	1
3	1
6	1
6	1
6	1
12	1
6	1
6	1
6	1
6	1
3	1
4	1
6	1
4	1
2	1
3	1
6	1
4	1
3	1
3	1
15	1
10	1
9	1
3	1
12	1
2	1
9	2
12	2
30	2
18	2
20	2
15	2
2	2
3	2
3	2
9	2
3	2
2	2
12	2
1	2
3	2
9	2
6	2
3	2
6	2
12	2
6	2
6	2
15	2
9	2
3	2
3	2
2	2
9	2
0	2
0	2
6	2
9	2
3	2
3	2
3	2
3	2
3	2
0	2
6	2
6	2
6	2
0	2
2	2
0	2
0	2
3	2
6	2
3	2
0	2
3	2
3	2
6	1
27	1
30	1
24	1
21	1
11	1
18	1
15	1
18	1
13	1
6	1
6	1
3	1
9	1
6	1
4	1
6	1
9	1
12	1
6	1
5	1
3	1
6	1
6	1
6	1
5	1
3	1
6	1
6	1
6	1
12	1
6	1
6	1
6	1
6	1
3	1
4	1
6	1
4	1
2	1
3	1
6	1
4	1
3	1
3	1
15	1
10	1
9	1
3	1
12	1
2	1
9	2
12	2
30	2
18	2
20	2
15	2
2	2
3	2
3	2
9	2
3	2
2	2
12	2
1	2
3	2
9	2
6	2
3	2
6	2
12	2
6	2
6	2
15	2
9	2
3	2
3	2
2	2
9	2
0	2
0	2
6	2
9	2
3	2
3	2
3	2
3	2
3	2
0	2
6	2
6	2
6	2
0	2
2	2
0	2
0	2
3	2
6	2
3	2
0	2
3	2
3	2
