sales	price	adspend	adm
1722	250	956	1427
1745	119	937	1787
1839	173	1068	1514
1377	235	858	1154
1560	153	824	1157
1326	138	637	972
1893	117	1021	443
1511	280	795	1677
1438	77	789	791
806	232	720	1449
1215	178	541	1212
1554	225	892	1192
878	200	710	1158
892	245	837	1196
886	293	959	805
444	255	514	1728
1710	155	755	1260
1306	141	759	1235
1116	261	807	1022
1655	171	880	1354
1419	264	780	2158
1617	182	942	1286
1322	195	658	1276
2032	224	968	1222
1986	255	1058	1225
1737	203	950	981
1129	193	873	794
871	180	484	1425
1961	210	1027	767
1288	206	703	1410
1524	202	717	1798
711	270	473	953
960	279	727	2172
203	159	629	819
2043	267	1066	934
1477	240	950	1454
1697	240	1047	1204
765	253	773	1809
1725	206	838	1288
1178	123	776	1085
1606	118	757	1441
1120	175	873	1116
1804	234	915	1288
882	187	528	1259
818	244	675	458
1405	175	651	785
871	228	872	585
123	233	626	367
274	210	452	677
1397	166	937	1309
1946	117	827	1628
1518	275	880	1460
589	252	709	952
2145	195	1004	1077
1215	160	705	1305
1351	195	897	1249
624	234	590	627
2450	229	1100	1562
1041	218	675	1318
697	257	901	1086
890	307	705	1303
524	229	676	945
1051	254	680	1757
1019	265	680	1323
1182	187	746	717
2175	130	954	1108
1669	178	1019	836
1018	237	735	408
1610	239	964	1191
1526	181	660	1282
821	240	609	1347
1232	265	1017	1551
1532	152	867	1124
990	222	773	1427
1206	290	820	1981
671	241	772	133
552	192	560	935
2005	238	997	2005
1123	131	566	1464
1059	178	783	952
505	198	660	1362
866	173	841	850
1152	254	726	1682
1028	152	606	1679
1800	219	824	980
2009	101	873	1266
170	267	478	571
1368	139	886	454
1412	274	991	1276
1645	254	732	915
1842	178	816	1722
1297	207	961	548
1845	224	787	1415
1945	126	830	866
1752	237	1060	1378
1268	143	831	851
1627	108	816	774
803	180	601	745
496	274	583	883
364	170	617	1021
572	284	640	1105
781	233	551	333
1122	272	799	1342
1248	159	531	988
619	215	810	912
178	229	593	1174
1892	269	930	1082
787	187	589	1508
1250	198	599	903
1084	341	918	1294
1098	117	609	1965
1045	223	686	762
1306	175	765	1355
550	260	486	1085
1243	279	853	582
1155	230	697	759
1149	200	865	1189
850	213	730	1474
1233	155	922	1001
809	228	706	1108
847	164	577	758
1624	206	914	242
964	145	872	1236
1869	180	924	542
1725	139	730	1741
1541	109	806	1242
1624	226	858	1086
346	206	585	893
1495	130	760	1533
1496	223	856	1322
2461	174	1166	1547
1111	198	646	1595
918	221	611	1196
1344	165	940	1528
2165	190	1148	1846
1547	199	830	996
1031	203	633	225
997	156	831	1414
878	226	607	1490
967	243	923	1408
1305	92	634	662
121	216	602	1120
1129	295	688	1378
1195	211	859	988
439	277	506	1169
950	209	798	1009
1548	219	774	1702
1944	240	1002	847
1894	272	740	940
845	161	580	1483
1111	185	686	1019
1159	174	607	2096
689	199	512	808
1252	156	724	1399
1046	253	1011	1198
327	169	593	1047
1342	225	739	1320
835	176	588	1607
139	207	738	839
2085	147	1003	1230
747	231	686	1361
978	273	714	1199
1364	167	582	822
1235	224	870	967
1153	115	578	1572
1147	180	585	1873
1377	192	801	1644
1174	281	697	722
1691	182	849	1969
1221	281	895	1160
951	247	834	1608
953	207	758	1560
747	185	684	564
1704	187	815	1409
1788	125	894	1732
738	250	588	1422
1595	164	760	1183
294	286	733	951
959	210	777	902
1341	175	709	556
873	155	592	1338
1067	207	532	1403
1145	208	727	1861
793	260	647	1137
1128	316	850	1080
777	316	739	2177
890	225	739	1396
352	334	688	1745
809	251	637	794
1292	233	997	736
1538	249	1036	1137
512	201	478	1829
1855	157	831	842
463	213	675	550
786	200	692	845
1230	185	854	636
1477	205	785	966
1090	228	809	918
1142	99	583	1369
646	270	676	564
2144	184	1010	1622
1442	167	796	1511
779	151	545	1063
1476	202	772	1017
1327	203	756	1355
1433	23	661	1488
1676	98	593	1394
1543	231	903	1604
1230	258	923	514
1203	201	748	1259
1986	160	939	1320
742	272	862	1587
1165	155	774	1607
2147	138	955	1366
1456	155	653	1515
1573	222	892	1167
683	271	626	1559
504	332	529	704
822	280	632	701
385	192	473	1083
2139	153	879	1559
1593	154	875	1263
878	166	761	1490
849	171	707	1265
451	283	438	692
1111	188	731	1261
1220	171	734	1229
1894	123	843	1386
323	217	722	670
1583	186	817	1104
1003	203	578	1040
890	236	657	1003
583	193	582	1105
1489	206	674	1802
1280	170	749	1741
1844	141	894	1552
1472	157	723	1152
1149	350	999	1492
1107	145	748	893
916	170	585	1251
1958	78	665	1108
1936	182	1064	1739
1757	221	908	725
1206	152	894	938
831	273	705	1458
1329	237	867	1433
976	224	619	1060
2058	194	801	1390
