id,"collection_date","movie_id","url","imdb_code","title","year","rating","runtime","genres","language","mpa_rating","download_count","like_count","rt_critics_score","rt_critics_rating","rt_audience_score","rt_audience_rating","date_uploaded","t_url_1","t_has_1","t_quality_1","t_resolution_1","t_framerate_1","t_seeds_1","t_peers_1","t_size_1","t_download_count_1","t_date_uploaded_1","t_url_2","t_has_2","t_quality_2","t_resolution_2","t_framerate_2","t_seeds_2","t_peers_2","t_size_2","t_download_count_2","t_date_uploaded_2","director_name","actors"
58761,"2015-10-20",1,"https://yts.to/movie/shutter-island-2010","tt1130884","Shutter Island",2010,8.1,138,"Mystery,Thriller","English","R",406945,579,68,"Fresh",76,"Upright","2011-08-13 01:22:10","https://yts.to/torrent/download/6AADAA2244D31930B5674E846D1AD341B0176AF0.torrent","6AADAA2244D31930B5674E846D1AD341B0176AF0","720p","1280*544",23.976,329,46,"599.84 MB",318290,"2011-08-13 01:22:10","https://yts.to/torrent/download/CDF09BFFC475789AA557EFF19A090735412BE99D.torrent","CDF09BFFC475789AA557EFF19A090735412BE99D","1080p","1920*816",23.976,463,89,"1.90 GB",220550,"2012-06-26 18:25:05","Martin Scorsese","Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley"
58762,"2015-10-20",2,"https://yts.to/movie/from-paris-with-love-2010","tt1179034","From Paris with Love",2010,6.5,92,"Action,Thriller","English","R",180382,212,37,"Rotten",54,"Spilled","2011-08-21 03:27:27","https://yts.to/torrent/download/BA8B46F090E353ACAECCF04BD484C74DE8864CF9.torrent","BA8B46F090E353ACAECCF04BD484C74DE8864CF9","720p","1280*544",23.976,45,3,"399.00 MB",148504,"2011-08-21 03:27:27","https://yts.to/torrent/download/5950599C3DA4436D2C3E8B5BCF8CD2A25A45CE60.torrent","5950599C3DA4436D2C3E8B5BCF8CD2A25A45CE60","1080p","1920*820",23.976,37,8,"1.44 GB",113354,"2014-10-01 10:41:38","Pierre Morel","John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden"
58763,"2015-10-20",3,"https://yts.to/movie/the-book-of-eli-2010","tt1037705","The Book of Eli",2010,6.9,118,"Action,Adventure","English","R",247618,290,48,"Rotten",64,"Upright","2011-08-02 22:12:52","https://yts.to/torrent/download/FBBFAB1E9692E2B41AF725EA2DE05236F774C856.torrent","FBBFAB1E9692E2B41AF725EA2DE05236F774C856","720p","1280*528",23.976,21,7,"499.08 MB",191230,"2011-08-02 22:12:52","https://yts.to/torrent/download/D0DF0005D6CC9BB7BB6C654CA4E05AE73C8D83DD.torrent","D0DF0005D6CC9BB7BB6C654CA4E05AE73C8D83DD","1080p","1920*800",23.976,211,41,"1.50 GB",151704,"2012-07-28 22:13:55","Albert Hughes, Allen Hughes","Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman"
58764,"2015-10-20",4,"https://yts.to/movie/rocknrolla-2008","tt1032755","RocknRolla",2008,7.3,114,"Action,Crime","English","R",183099,163,59,"Rotten",71,"Upright","2011-08-02 22:11:39","https://yts.to/torrent/download/A9E7A5DADFFBEF63FB5FDB0C14A01724CED23849.torrent","A9E7A5DADFFBEF63FB5FDB0C14A01724CED23849","720p","1280*528",23.976,103,15,"499.42 MB",183099,"2011-08-02 22:11:39","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Guy Ritchie","Gerard Butler, Tom Wilkinson, Idris Elba, Thandie Newton"
58765,"2015-10-20",5,"https://yts.to/movie/alice-in-wonderland-2010","tt1014759","Alice in Wonderland",2010,6.5,108,"Adventure,Family","English","PG",259384,326,51,"Rotten",55,"Spilled","2011-08-02 22:06:26","https://yts.to/torrent/download/F698E2975092F97D3C324C350857138A76FB5D08.torrent","F698E2975092F97D3C324C350857138A76FB5D08","720p","1280*720",23.976,19,7,"499.12 MB",176974,"2011-08-02 22:06:26","https://yts.to/torrent/download/7DBC6D189054565687AD5A34B0A4AA6C625B09BA.torrent","7DBC6D189054565687AD5A34B0A4AA6C625B09BA","1080p","1920*1080",23.976,281,89,"1.64 GB",164351,"2014-02-13 02:09:10","Tim Burton","Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway"
58766,"2015-10-20",6,"https://yts.to/movie/metropia-2009","tt0985058","Metropia",2009,6.3,86,"Animation,Drama","English","K-11",84110,68,40,"Rotten",55,"Spilled","2011-08-15 00:03:59","https://yts.to/torrent/download/26C00CDAF98DAAB63BE7F55D8C016A029ADEDF9D.torrent","26C00CDAF98DAAB63BE7F55D8C016A029ADEDF9D","720p","1280*688",23.976,28,2,"399.22 MB",84110,"2011-08-15 00:03:59","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Tarik Saleh","Vincent Gallo, Juliette Lewis, Udo Kier, Stellan Skarsgard"
58767,"2015-10-20",7,"https://yts.to/movie/unthinkable-2010","tt0914863","Unthinkable",2010,7.1,97,"Drama,Thriller","English","R",165569,145,0,"None",66,"Upright","2011-08-02 22:14:32","https://yts.to/torrent/download/B5958F4FF5A66FEC8B0DDF42D69C8A0F4EC9BDCA.torrent","B5958F4FF5A66FEC8B0DDF42D69C8A0F4EC9BDCA","720p","1280*688",23.976,57,9,"449.44 MB",165569,"2011-08-02 22:14:32","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Gregor Jordan","Samuel L. Jackson, Carrie-Anne Moss, Michael Sheen, Stephen Root"
58768,"2015-10-20",8,"https://yts.to/movie/the-wolfman-2010","tt0780653","The Wolfman",2010,5.8,103,"Drama,Horror","English","R",103629,119,34,"Rotten",33,"Spilled","2011-08-02 22:13:56","https://yts.to/torrent/download/82A5521C515F7B74C22E7FDC6D6E81EC1E35754D.torrent","82A5521C515F7B74C22E7FDC6D6E81EC1E35754D","720p","1280*694",23.976,47,16,"599.97 MB",103629,"2011-08-02 22:13:56","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Joe Johnston","Benicio Del Toro, Anthony Hopkins, Emily Blunt, Simon Merrells"
58769,"2015-10-20",9,"https://yts.to/movie/revolver-2005","tt0365686","Revolver",2005,6.5,111,"Action,Crime","English","R",108473,111,17,"Rotten",56,"Spilled","2011-08-02 22:11:38","https://yts.to/torrent/download/58AC4697C6E4A20099F4FFBD86EAAAA5438877BF.torrent","58AC4697C6E4A20099F4FFBD86EAAAA5438877BF","720p","1280*544",23.976,84,12,"498.46 MB",108473,"2011-08-02 22:11:38","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Guy Ritchie","Jason Statham, Ray Liotta, Vincent Pastore, Andre Benjamin"
58770,"2015-10-20",10,"https://yts.to/movie/snatch-2000","tt0208092","Snatch.",2000,8.3,102,"Comedy,Crime","English","R",335226,350,73,"Fresh",93,"Upright","2011-08-02 22:12:51","https://yts.to/torrent/download/513EC39C73135C43AACACECDC78B300161902A45.torrent","513EC39C73135C43AACACECDC78B300161902A45","720p","1280*688",23.976,321,47,"449.71 MB",335226,"2011-08-02 22:12:51","","","","",NA,NA,NA,"",NA,"0000-00-00 00:00:00","Guy Ritchie","Jason Statham, Brad Pitt, Benicio Del Toro, Dennis Farina"
